Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
678,42.32,38.41,36.14,23.42
679,42.32,38.41,36.14,23.42
680,42.43,38.31,36.14,23.42
681,42.32,38.41,36.14,23.42
682,42.32,38.31,36.14,23.51
683,42.32,38.41,36.14,23.42
684,42.32,38.41,36.14,23.42
685,42.32,38.41,36.14,23.42
686,42.32,38.41,36.14,23.42
687,42.32,38.31,36.14,23.51
688,42.32,38.41,36.14,23.42
689,42.32,38.41,36.04,23.42
690,42.32,38.41,36.04,23.42
691,42.43,38.31,36.14,23.51
692,42.32,38.41,36.04,23.51
693,42.43,38.41,36.04,23.51
694,42.32,38.41,36.04,23.51
695,42.32,38.41,36.04,23.51
696,42.43,38.31,36.04,23.51
697,42.32,38.31,36.04,23.51
698,42.43,38.31,36.04,23.51
699,42.43,38.31,36.14,23.51
700,42.43,38.41,36.14,23.51
701,42.32,38.41,36.14,23.51
702,42.32,38.31,36.04,23.51
703,42.32,38.41,36.14,23.51
704,42.43,38.41,36.14,23.51
705,42.32,38.41,36.14,23.51
706,42.32,38.31,36.14,23.51
707,42.32,38.31,36.14,23.51
708,42.32,38.31,36.14,23.51
709,42.32,38.41,36.14,23.51
710,42.32,38.41,36.14,23.51
711,42.32,38.31,36.14,23.51
712,42.43,38.31,36.14,23.51
713,42.32,38.41,36.14,23.42
714,42.32,38.41,36.14,23.51
715,42.32,38.31,36.14,23.51
716,42.32,38.31,36.14,23.51
717,42.32,38.41,36.14,23.51
718,42.32,38.41,36.14,23.51
719,42.32,38.41,36.14,23.51
720,42.32,38.41,36.14,23.51
721,42.43,38.41,36.14,23.51
722,42.32,38.41,36.14,23.51
723,42.32,38.41,36.14,23.51
724,42.32,38.41,36.14,23.51
725,42.54,38.41,36.14,23.42
726,42.43,38.41,36.14,23.51
727,42.43,38.41,36.14,23.51
728,42.43,38.41,36.14,23.51
729,42.43,38.41,36.14,23.51
730,42.43,38.41,36.14,23.51
731,42.43,38.41,36.14,23.51
732,42.43,38.41,36.14,23.42
733,42.43,38.41,36.14,23.51
734,42.43,38.41,36.24,23.51
735,42.43,38.41,36.14,23.51
736,42.54,38.41,36.14,23.51
737,42.43,38.41,36.24,23.42
738,42.43,38.52,36.14,23.51
739,42.43,38.41,36.14,23.51
740,42.54,38.41,36.14,23.51
741,42.43,38.52,36.14,23.51
742,42.54,38.41,36.14,23.51
743,42.54,38.52,36.14,23.51
744,42.43,38.52,36.14,23.42
745,42.54,38.52,36.14,23.51
746,42.43,38.52,36.14,23.51
747,42.43,38.52,36.14,23.51
748,42.54,38.41,36.14,23.51
749,42.43,38.52,36.14,23.51
750,42.54,38.52,36.14,23.51
751,42.54,38.52,36.14,23.51
752,42.54,38.52,36.14,23.51
753,42.54,38.52,36.14,23.51
754,42.54,38.41,36.04,23.51
755,42.43,38.52,36.14,23.51
756,42.54,38.52,36.04,23.60
