temps,T1,T2,T3
472,26.95660697,27.06770388,26.40358082
472.5,26.95748475,27.06885569,26.40474611
473,26.95835907,27.0700035,26.40590737
473.5,26.95922995,27.07114734,26.4070646
474,26.96009742,27.07228721,26.40821783
474.5,26.96096147,27.07342312,26.40936707
475,26.96182214,27.07455511,26.41051232
475.5,26.96267942,27.07568316,26.4116536
476,26.96353333,27.07680731,26.41279094
476.5,26.96438388,27.07792756,26.41392433
477,26.9652311,27.07904393,26.4150538
477.5,26.96607498,27.08015643,26.41617935
478,26.96691555,27.08126507,26.41730101
478.5,26.96775281,27.08236987,26.41841878
479,26.96858679,27.08347084,26.41953268
479.5,26.96941749,27.08456799,26.42064272
480,26.97024492,27.08566134,26.42174891
480.5,26.97106911,27.0867509,26.42285128
481,26.97189005,27.08783669,26.42394982
481.5,26.97270777,27.08891871,26.42504456
482,26.97352228,27.08999698,26.42613551
482.5,26.97433359,27.09107151,26.42722268
483,26.97514171,27.09214232,26.42830609
483.5,26.97594665,27.09320942,26.42938574
484,26.97674843,27.09427281,26.43046165
484.5,26.97754706,27.09533253,26.43153383
485,26.97834255,27.09638857,26.43260231
485.5,26.97913492,27.09744094,26.43366708
486,26.97992417,27.09848967,26.43472816
486.5,26.98071032,27.09953477,26.43578556
487,26.98149338,27.10057624,26.43683931
487.5,26.98227337,27.10161411,26.4378894
488,26.98305029,27.10264837,26.43893586
488.5,26.98382416,27.10367905,26.43997869
489,26.98459499,27.10470616,26.44101791
489.5,26.98536278,27.10572971,26.44205353
490,26.98612757,27.10674971,26.44308556
490.5,26.98688934,27.10776617,26.44411402
491,26.98764813,27.10877911,26.44513892
491.5,26.98840393,27.10978854,26.44616026
492,26.98915676,27.11079447,26.44717807
492.5,26.98990664,27.11179692,26.44819235
493,26.99065356,27.11279589,26.44920312
493.5,26.99139756,27.1137914,26.45021039
494,26.99213863,27.11478345,26.45121417
494.5,26.99287678,27.11577207,26.45221447
495,26.99361204,27.11675726,26.45321131
495.5,26.99434441,27.11773904,26.45420469
496,26.9950739,27.11871741,26.45519464
496.5,26.99580052,27.11969239,26.45618115
497,26.99652429,27.120664,26.45716425
497.5,26.99724522,27.12163223,26.45814394
498,26.99796331,27.12259711,26.45912024
498.5,26.99867858,27.12355864,26.46009316
499,26.99939104,27.12451684,26.4610627
499.5,27.0001007,27.12547172,26.46202889
500,27.00080758,27.12642329,26.46299173
500.5,27.00151167,27.12737157,26.46395124
501,27.002213,27.12831655,26.46490742
501.5,27.00291157,27.12925826,26.4658603
502,27.0036074,27.13019671,26.46680987
502.5,27.00430049,27.1311319,26.46775615
503,27.00499086,27.13206385,26.46869915
503.5,27.00567852,27.13299257,26.46963889
504,27.00636348,27.13391807,26.47057537
504.5,27.00704574,27.13484036,26.47150861
505,27.00772533,27.13575946,26.47243862
505.5,27.00840224,27.13667537,26.4733654
506,27.00907649,27.13758811,26.47428898
506.5,27.0097481,27.13849768,26.47520935
507,27.01041706,27.1394041,26.47612654
507.5,27.0110834,27.14030738,26.47704055
508,27.01174712,27.14120752,26.47795139
508.5,27.01240823,27.14210455,26.47885908
509,27.01306674,27.14299847,26.47976363
509.5,27.01372267,27.14388929,26.48066504
510,27.01437601,27.14477702,26.48156333
510.5,27.0150268,27.14566167,26.48245851
511,27.01567502,27.14654326,26.48335059
511.5,27.0163207,27.14742179,26.48423957
512,27.01696384,27.14829728,26.48512548
512.5,27.01760445,27.14916973,26.48600832
513,27.01824255,27.15003916,26.4868881
513.5,27.01887813,27.15090557,26.48776484
514,27.01951122,27.15176899,26.48863853
514.5,27.02014183,27.1526294,26.48950921
515,27.02076995,27.15348684,26.49037686
515.5,27.02139561,27.15434131,26.49124151
516,27.02201881,27.15519281,26.49210317
516.5,27.02263956,27.15604136,26.49296184
517,27.02325787,27.15688697,26.49381753
517.5,27.02387375,27.15772965,26.49467026
518,27.02448722,27.1585694,26.49552004
518.5,27.02509827,27.15940625,26.49636688
519,27.02570692,27.1602402,26.49721078
519.5,27.02631318,27.16107125,26.49805176
520,27.02691705,27.16189943,26.49888982
520.5,27.02751856,27.16272473,26.49972498
521,27.0281177,27.16354718,26.50055725
521.5,27.02871448,27.16436677,26.50138664
522,27.02930893,27.16518352,26.50221315
522.5,27.02990103,27.16599744,26.50303681
523,27.03049081,27.16680854,26.5038576
523.5,27.03107827,27.16761683,26.50467556
524,27.03166342,27.16842232,26.50549068
524.5,27.03224628,27.16922501,26.50630298
525,27.03282684,27.17002493,26.50711246
525.5,27.03340513,27.17082207,26.50791914
526,27.03398114,27.17161644,26.50872303
526.5,27.03455488,27.17240807,26.50952413
527,27.03512638,27.17319694,26.51032246
527.5,27.03569562,27.17398309,26.51111802
528,27.03626263,27.17476651,26.51191083
528.5,27.03682742,27.17554721,26.51270089
529,27.03738998,27.17632521,26.51348821
529.5,27.03795033,27.17710051,26.51427281
530,27.03850848,27.17787313,26.51505469
530.5,27.03906444,27.17864307,26.51583386
531,27.03961822,27.17941033,26.51661033
531.5,27.04016981,27.18017494,26.51738411
532,27.04071924,27.1809369,26.51815521
532.5,27.04126652,27.18169622,26.51892364
533,27.04181164,27.1824529,26.51968941
533.5,27.04235462,27.18320696,26.52045253
534,27.04289546,27.18395841,26.521213
534.5,27.04343418,27.18470725,26.52197084
535,27.04397079,27.1854535,26.52272605
535.5,27.04450528,27.18619716,26.52347865
536,27.04503768,27.18693825,26.52422864
536.5,27.04556798,27.18767676,26.52497604
537,27.0460962,27.18841272,26.52572084
537.5,27.04662234,27.18914612,26.52646307
538,27.04714642,27.18987698,26.52720272
538.5,27.04766844,27.19060531,26.52793981
539,27.0481884,27.19133112,26.52867435
539.5,27.04870633,27.1920544,26.52940635
540,27.04922221,27.19277519,26.5301358
540.5,27.04973607,27.19349347,26.53086274
541,27.05024792,27.19420926,26.53158715
541.5,27.05075775,27.19492257,26.53230905
542,27.05126557,27.19563341,26.53302846
542.5,27.05177141,27.19634179,26.53374537
543,27.05227525,27.19704771,26.5344598
543.5,27.05277712,27.19775118,26.53517176
544,27.05327701,27.19845222,26.53588124
544.5,27.05377494,27.19915082,26.53658827
545,27.05427091,27.19984701,26.53729286
545.5,27.05476493,27.20054078,26.537995
546,27.05525701,27.20123214,26.53869471
546.5,27.05574716,27.20192111,26.53939199
547,27.05623539,27.20260769,26.54008686
547.5,27.05672169,27.20329189,26.54077933
548,27.05720608,27.20397372,26.54146939
548.5,27.05768857,27.20465319,26.54215707
549,27.05816917,27.2053303,26.54284236
549.5,27.05864787,27.20600507,26.54352528
550,27.0591247,27.20667749,26.54420583
550.5,27.05959965,27.20734759,26.54488403
551,27.06007274,27.20801536,26.54555987
551.5,27.06054396,27.20868082,26.54623338
552,27.06101334,27.20934397,26.54690455
552.5,27.06148087,27.21000482,26.5475734
553,27.06194656,27.21066338,26.54823993
553.5,27.06241042,27.21131966,26.54890415
554,27.06287247,27.21197366,26.54956608
554.5,27.06333269,27.2126254,26.55022571
555,27.06379111,27.21327488,26.55088305
555.5,27.06424772,27.21392211,26.55153812
556,27.06470255,27.21456709,26.55219092
556.5,27.06515558,27.21520984,26.55284145
557,27.06560684,27.21585036,26.55348974
557.5,27.06605632,27.21648866,26.55413577
558,27.06650403,27.21712474,26.55477957
558.5,27.06694999,27.21775863,26.55542115
559,27.06739419,27.21839031,26.55606049
559.5,27.06783665,27.21901981,26.55669763
560,27.06827737,27.21964712,26.55733255
560.5,27.06871636,27.22027226,26.55796528
561,27.06915362,27.22089523,26.55859582
